tableName,associatedID
UserCustomObjectEditHistory.csv,updatingUserID
UserCustomObjectEditHistory.csv,migrateGUID
UserCustomObjectEditHistory.csv,transactionID
UserCustomObjectEditHistoryFieldChange.csv,userCustomObjectEditHistoryFieldChangeID
UserCustomObjectEditHistoryFieldChange.csv,userCustomObjectEditHistoryID
UserCustomObjectInstance.csv,userID
UserCustomObjectInstance.csv,instanceID
UserCustomObjectInstance.csv,migrateGUID
UserDepartmentListGrouping.csv,userID
UserDepartmentListGrouping.csv,departmentID
UserEditHistory.csv,userEditHistoryID
UserEditHistory.csv,userID
UserEditHistory.csv,updatingUserID
UserEditHistory.csv,migrateGUID
UserEditHistory.csv,transactionID
UserEditHistoryFieldChange.csv,UserEditHistoryFieldChangeID
UserEditHistoryFieldChange.csv,userEditHistoryID
UserEducation.csv,userEducationID
UserEducation.csv,userID
UserEducation.csv,migrateGUID
UserEducationCustom.csv,userEducationID
UserEducationCustom.csv,migrateGUID
UserFeatureHistory.csv,userFeatureHistoryID
UserFeatureHistory.csv,masterUserID
UserFeatureHistory.csv,userID
UserFeatureHistory.csv,userTypeID
UserFeatureHistory.csv,corporationID
UserFeatureHistory.csv,enabledUserID
UserFeatureHistory.csv,disabledUserID
UserHit.csv,userHitID
UserHit.csv,userID
UserHit.csv,viewingUserID
UserMessage.csv,userMessageID
UserMessage.csv,sendingUserID
UserMessage.csv,userMessageUUID
UserMessage.csv,migrateGUID
UserMessage.csv,threadID
UserMessageDistributionList.csv,userMessageID
UserMessageDistributionList.csv,distributionListID
UserMessageFile.csv,userMessageFileID
UserMessageFile.csv,userMessageID
UserMessageFile.csv,migrateGUID
UserMessageFile.csv,ownerUserID
UserPasswordHistory.csv,userPasswordHistoryID
UserPasswordHistory.csv,userID
UserReference.csv,userReferenceID
UserReference.csv,userID
UserReference.csv,referenceUserID
UserReference.csv,clientCorporationID
UserReference.csv,jobPostingID
UserReference.csv,migrateGUID
UserReferenceAnswer.csv,userReferenceAnswerID
UserReferenceAnswer.csv,userReferenceID
UserReferenceAnswer.csv,userReferenceQuestionID
UserReferenceAnswer.csv,migrateGUID
UserReferenceCustom.csv,userReferenceID
UserReferenceCustom.csv,migrateGUID
UserReferenceQuestion.csv,userReferenceQuestionID
UserReferenceQuestion.csv,corporationID
UserReferenceQuestion.csv,categoryID
UserReferenceQuestion.csv,migrateGUID
UserSetting.csv,userSettingID
UserSetting.csv,userID
UserSkill.csv,userID
UserSkill.csv,skillID
UserWork.csv,userWorkID
UserWork.csv,userID
UserWork.csv,userFolderID
UserWork.csv,externalID
UserWork.csv,jobPostingID
UserWork.csv,placementID
